Locus	Gene	Start	Length	Product	Allele Count	File
KP1_RS05690		1159265	915	fructokinase	775	KP1_RS05690.fasta
KP1_RS05700		1163387	1206	exonuclease sbcCD subunit D	925	KP1_RS05700.fasta
KP1_RS05705		1164775	690	DNA-binding response regulator	346	KP1_RS05705.fasta
KP1_RS05710	phoR	1165486	1296	PAS domain-containing sensor histidine kinase	903	KP1_RS05710.fasta
KP1_RS05715		1167195	1320	branched-chain amino acid transporter 2 carrier protein BrnQ	749	KP1_RS05715.fasta
KP1_RS05725		1170126	1818	maltodextrin glucosidase	1260	KP1_RS05725.fasta
KP1_RS05730		1171940	903	LysR family transcriptional regulator	737	KP1_RS05730.fasta
KP1_RS05735		1173109	642	hydrolase	497	KP1_RS05735.fasta
KP1_RS05740		1173937	546	antibiotic biosynthesis monooxygenase	387	KP1_RS05740.fasta
KP1_RS05750		1176434	861	"fructose-1,6-bisphosphate aldolase, class II"	703	KP1_RS05750.fasta
KP1_RS05755		1177324	963	kinase	732	KP1_RS05755.fasta
KP1_RS05765		1179764	288	PTS mannose transporter subunit IIA	230	KP1_RS05765.fasta
KP1_RS05770		1180057	444	PTS sugar transporter subunit IIA	382	KP1_RS05770.fasta
KP1_RS05780		1180847	603	peroxiredoxin	377	KP1_RS05780.fasta
KP1_RS05785		1181577	582	ACP phosphodiesterase	483	KP1_RS05785.fasta
KP1_RS05795		1182414	1065	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	640	KP1_RS05795.fasta
KP1_RS05800		1183587	1128	tRNA guanosine(34) transglycosylase Tgt	636	KP1_RS05800.fasta
KP1_RS05805		1184737	333	preprotein translocase subunit YajC	183	KP1_RS05805.fasta
KP1_RS05810		1185096	1848	preprotein translocase subunit SecD	939	KP1_RS05810.fasta
KP1_RS05815		1186954	972	preprotein translocase subunit SecF	579	KP1_RS05815.fasta
KP1_RS05820		1188062	366	glyoxalase	300	KP1_RS05820.fasta
KP1_RS05830		1189201	885	nucleoside-specific channel-forming protein Tsx	473	KP1_RS05830.fasta
KP1_RS05835		1190384	540	hypothetical protein	401	KP1_RS05835.fasta
KP1_RS05840		1191071	450	NrdR family transcriptional regulator	177	KP1_RS05840.fasta
KP1_RS05850		1192715	471	"6,7-dimethyl-8-ribityllumazine synthase"	252	KP1_RS05850.fasta
KP1_RS05855	nusB	1193205	420	N utilization substance protein B	180	KP1_RS05855.fasta
KP1_RS05860		1193696	972	thiamine-monophosphate kinase	737	KP1_RS05860.fasta
KP1_RS05865		1194696	468	phosphatidylglycerophosphatase A	323	KP1_RS05865.fasta
KP1_RS05870		1195209	975	oxidoreductase	808	KP1_RS05870.fasta
KP1_RS05875		1196244	1863	1-deoxy-D-xylulose-5-phosphate synthase	1081	KP1_RS05875.fasta
KP1_RS05880		1198125	900	"(2E,6E)-farnesyl diphosphate synthase"	402	KP1_RS05880.fasta
KP1_RS05885		1199025	243	exodeoxyribonuclease 7 small subunit	87	KP1_RS05885.fasta
KP1_RS05890		1199449	1449	tRNA 4-thiouridine(8) synthase ThiI	1008	KP1_RS05890.fasta
KP1_RS05905		1202047	912	2-dehydropantoate 2-reductase	606	KP1_RS05905.fasta
KP1_RS05910		1203150	492	nucleotide-binding protein	294	KP1_RS05910.fasta
KP1_RS05915		1203685	1365	MFS transporter	813	KP1_RS05915.fasta
KP1_RS05920		1205209	1179	oxidoreductase	874	KP1_RS05920.fasta
KP1_RS05930		1208094	819	xylose isomerase	624	KP1_RS05930.fasta
KP1_RS05940		1210678	321	NIPSNAP family protein	209	KP1_RS05940.fasta
KP1_RS05955		1213659	759	IclR family transcriptional regulator	615	KP1_RS05955.fasta
KP1_RS05965		1215038	888	protoheme IX farnesyltransferase	422	KP1_RS05965.fasta
KP1_RS05970		1215937	330	cytochrome o ubiquinol oxidase subunit IV	125	KP1_RS05970.fasta
KP1_RS05980		1216867	1992	cytochrome ubiquinol oxidase subunit I	904	KP1_RS05980.fasta
KP1_RS05985		1218878	945	cytochrome ubiquinol oxidase subunit II	332	KP1_RS05985.fasta
KP1_RS05990		1220302	1476	AmpG family muropeptide MFS transporter	1070	KP1_RS05990.fasta
KP1_RS05995		1221821	579	hypothetical protein	275	KP1_RS05995.fasta
KP1_RS06005		1223366	1299	trigger factor	782	KP1_RS06005.fasta
KP1_RS06010		1224974	624	ATP-dependent Clp protease proteolytic subunit	274	KP1_RS06010.fasta
KP1_RS06015		1225848	1275	ATP-dependent Clp protease ATP-binding subunit ClpX	677	KP1_RS06015.fasta
KP1_RS06020		1227306	2355	endopeptidase La	1390	KP1_RS06020.fasta
KP1_RS06025		1229870	273	DNA-binding protein HU-beta	105	KP1_RS06025.fasta
KP1_RS06030		1230357	1875	peptidylprolyl isomerase	1167	KP1_RS06030.fasta
KP1_RS06040		1232860	402	thioesterase	323	KP1_RS06040.fasta
KP1_RS06045		1233373	702	7-cyano-7-deazaguanine synthase QueC	458	KP1_RS06045.fasta
KP1_RS06050		1234141	1701	hypothetical protein	1198	KP1_RS06050.fasta
KP1_RS06060		1236832	1053	cysteine synthase	812	KP1_RS06060.fasta
KP1_RS06065		1238000	459	transcriptional regulator	323	KP1_RS06065.fasta
KP1_RS06075		1240267	1779	multidrug ABC transporter permease/ATP-binding protein	1097	KP1_RS06075.fasta
KP1_RS06080		1242289	339	nitrogen regulatory protein P-II 2	110	KP1_RS06080.fasta
KP1_RS06085		1242661	1287	ammonium transporter	724	KP1_RS06085.fasta
KP1_RS06090		1244002	864	acyl-CoA thioesterase II	564	KP1_RS06090.fasta
KP1_RS06100		1245611	312	methylated-DNA--protein-cysteine methyltransferase	229	KP1_RS06100.fasta
KP1_RS06110		1247044	258	hypothetical protein	180	KP1_RS06110.fasta
KP1_RS06115		1247298	216	hypothetical protein	91	KP1_RS06115.fasta
KP1_RS06125		1249164	615	membrane protein	595	KP1_RS06125.fasta
KP1_RS06135		1250815	273	hypothetical protein	131	KP1_RS06135.fasta
KP1_RS06140		1251122	1560	cyclic diguanylate phosphodiesterase	1378	KP1_RS06140.fasta
KP1_RS06160		1255676	1308	arabinogalactan ABC transporter permease	816	KP1_RS06160.fasta
KP1_RS06170		1257850	1203	galactosidase	1042	KP1_RS06170.fasta
KP1_RS06175		1259084	2058	beta-galactosidase	1343	KP1_RS06175.fasta
KP1_RS06190	lacI	1263199	1071	lac repressor	829	KP1_RS06190.fasta
KP1_RS06200		1264648	141	50S ribosomal protein L36	100	KP1_RS06200.fasta
KP1_RS06230		1268344	219	transcriptional regulator	99	KP1_RS06230.fasta
KP1_RS06235		1268589	375	Hha toxicity attenuator	165	KP1_RS06235.fasta
KP1_RS06240		1269449	3147	multidrug efflux RND transporter permease subunit	1480	KP1_RS06240.fasta
KP1_RS06245		1272618	1194	MexE family multidrug efflux RND transporter periplasmic adaptor subunit	720	KP1_RS06245.fasta
KP1_RS06250		1273954	651	DNA-binding transcriptional repressor AcrR	507	KP1_RS06250.fasta
KP1_RS06255		1274734	3348	hypothetical protein	1545	KP1_RS06255.fasta
KP1_RS06260		1278117	912	hypothetical protein	356	KP1_RS06260.fasta
KP1_RS06265		1279096	174	DUF2496 domain-containing protein	110	KP1_RS06265.fasta
KP1_RS06275		1279879	378	hypothetical protein	247	KP1_RS06275.fasta
KP1_RS06280		1280407	552	adenine phosphoribosyltransferase	296	KP1_RS06280.fasta
KP1_RS06290		1283016	333	nucleoid-associated protein	155	KP1_RS06290.fasta
KP1_RS06295		1283348	606	recombination protein RecR	384	KP1_RS06295.fasta
KP1_RS06300		1284065	1875	molecular chaperone HtpG	1184	KP1_RS06300.fasta
KP1_RS06305		1286162	645	adenylate kinase	391	KP1_RS06305.fasta
KP1_RS06310		1286935	963	ferrochelatase	630	KP1_RS06310.fasta
KP1_RS06315		1287961	1305	inosine/guanosine kinase	790	KP1_RS06315.fasta
KP1_RS06335		1291203	1221	MFS transporter	1029	KP1_RS06335.fasta
KP1_RS06340	ushA	1292693	1653	bifunctional UDP-sugar hydrolase/5'-nucleotidase	1144	KP1_RS06340.fasta
KP1_RS06345		1294451	480	aminoacyl-tRNA deacylase	301	KP1_RS06345.fasta
KP1_RS06350		1295133	795	hypothetical protein	561	KP1_RS06350.fasta
KP1_RS06355	copA	1296058	2502	Cu+ exporting ATPase	1605	KP1_RS06355.fasta
KP1_RS06360		1298666	411	transcriptional regulator	325	KP1_RS06360.fasta
KP1_RS06370		1299528	918	protease	520	KP1_RS06370.fasta
KP1_RS06380		1301250	783	iron export ABC transporter permease subunit FetB	524	KP1_RS06380.fasta
KP1_RS06385		1302140	855	co-chaperone YbbN	626	KP1_RS06385.fasta
KP1_RS06390		1303053	771	short-chain dehydrogenase/reductase	549	KP1_RS06390.fasta
KP1_RS06400		1304446	687	ABC transporter ATP-binding protein	470	KP1_RS06400.fasta
KP1_RS06415		1307725	1146	membrane protein	858	KP1_RS06415.fasta
KP1_RS06515		1331755	1068	5-(carboxyamino)imidazole ribonucleotide synthase	854	KP1_RS06515.fasta
KP1_RS06520		1332819	510	5-(carboxyamino)imidazole ribonucleotide mutase	395	KP1_RS06520.fasta
KP1_RS06530		1333871	723	"UDP-2,3-diacylglucosamine diphosphatase"	658	KP1_RS06530.fasta
KP1_RS06535		1334597	495	peptidyl-prolyl cis-trans isomerase	318	KP1_RS06535.fasta
KP1_RS06540		1335267	1386	cysteine--tRNA ligase	1019	KP1_RS06540.fasta
KP1_RS06565		1338834	867	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	432	KP1_RS06565.fasta
KP1_RS06580		1341268	402	5-hydroxyisourate hydrolase	293	KP1_RS06580.fasta
KP1_RS06590		1342243	141	hypothetical protein	130	KP1_RS06590.fasta
KP1_RS06630		1350012	867	GNAT family acetyltransferase	569	KP1_RS06630.fasta
KP1_RS06650	cadB	1354909	1335	arginine:agmatine antiporter	962	KP1_RS06650.fasta
KP1_RS06655		1356326	2148	lysine decarboxylase CadA	1320	KP1_RS06655.fasta
KP1_RS06660		1358533	1476	MFS transporter	1077	KP1_RS06660.fasta
KP1_RS06670		1361934	426	hypothetical protein	478	KP1_RS06670.fasta
KP1_RS06680		1363847	1173	oxidoreductase	1035	KP1_RS06680.fasta
KP1_RS06685		1365029	1032	oxidoreductase	1066	KP1_RS06685.fasta
KP1_RS06695		1367690	1020	transcriptional regulator	814	KP1_RS06695.fasta
KP1_RS06700		1369139	924	LacI family transcriptional regulator	700	KP1_RS06700.fasta
KP1_RS06705		1370095	1485	D-ribose transporter ATP-binding protein	1077	KP1_RS06705.fasta
KP1_RS06735		1375896	1371	PTS sucrose EIIBC component	817	KP1_RS06735.fasta
KP1_RS06740		1377371	1518	carbohydrate porin	975	KP1_RS06740.fasta
KP1_RS06755		1380089	768	Crp/Fnr family transcriptional regulator	638	KP1_RS06755.fasta
KP1_RS06760		1380992	345	GTPase	249	KP1_RS06760.fasta
KP1_RS06765		1381336	1143	MFP transporter	1041	KP1_RS06765.fasta
KP1_RS06770		1382519	798	iron ABC transporter ATP-binding protein	698	KP1_RS06770.fasta
KP1_RS06775		1383313	1083	iron-siderophore ABC transporter permease	908	KP1_RS06775.fasta
KP1_RS06780		1384402	1119	ABC transporter substrate-binding protein	976	KP1_RS06780.fasta
KP1_RS06785		1385612	120	hypothetical protein	76	KP1_RS06785.fasta
KP1_RS06790		1385792	390	hypothetical protein	262	KP1_RS06790.fasta
KP1_RS06795		1386361	456	membrane protein	362	KP1_RS06795.fasta
KP1_RS06815		1388520	777	ABC transporter substrate-binding protein	480	KP1_RS06815.fasta
KP1_RS06825		1391579	792	molybdenum cofactor biosynthesis protein F	906	KP1_RS06825.fasta
KP1_RS06845		1396651	684	helix-turn-helix transcriptional regulator	453	KP1_RS06845.fasta
KP1_RS06865		1400260	1500	APC family amino acid permease	1177	KP1_RS06865.fasta
KP1_RS06870		1402132	366	hypothetical protein	332	KP1_RS06870.fasta
KP1_RS06875		1402511	1302	FAD-dependent oxidoreductase	972	KP1_RS06875.fasta
KP1_RS06895		1409299	1377	phenylalanine transporter	1036	KP1_RS06895.fasta
KP1_RS06900		1410827	1242	MFS transporter	930	KP1_RS06900.fasta
KP1_RS06905		1412085	1023	AP endonuclease	926	KP1_RS06905.fasta
KP1_RS06910		1413109	1152	dehydrogenase	1046	KP1_RS06910.fasta
KP1_RS06915		1414280	417	hypothetical protein	399	KP1_RS06915.fasta
KP1_RS06920		1414945	981	LacI family transcriptional regulator	727	KP1_RS06920.fasta
KP1_RS06925		1415929	1245	miniconductance mechanosensitive channel	963	KP1_RS06925.fasta
KP1_RS06930		1417244	1428	MFS transporter	1198	KP1_RS06930.fasta
KP1_RS06980		1429118	654	NAD(P)H nitroreductase	841	KP1_RS06980.fasta
KP1_RS06985		1429891	369	hypothetical protein	311	KP1_RS06985.fasta
KP1_RS06995		1431035	1101	MBL fold metallo-hydrolase	900	KP1_RS06995.fasta
KP1_RS07000		1432166	342	DNA-binding transcriptional regulator RamA	533	KP1_RS07000.fasta
KP1_RS07005		1432525	249	membrane protein	161	KP1_RS07005.fasta
KP1_RS07035		1441353	1116	glutamate--cysteine ligase	1013	KP1_RS07035.fasta
KP1_RS07070		1449841	909	transporter	1059	KP1_RS07070.fasta
KP1_RS07075		1450874	1335	GntR family transcriptional regulator	1238	KP1_RS07075.fasta
KP1_RS07085		1453910	852	amino acid ABC transporter substrate-binding protein	736	KP1_RS07085.fasta
KP1_RS07090		1454809	642	ABC transporter permease	532	KP1_RS07090.fasta
KP1_RS07100		1456123	762	glutamate ABC transporter ATP-binding protein	676	KP1_RS07100.fasta
KP1_RS07105		1456938	765	oxidoreductase	659	KP1_RS07105.fasta
KP1_RS07110		1457883	1338	aspartate aminotransferase family protein	1243	KP1_RS07110.fasta
KP1_RS07180		1473369	447	hypothetical protein	374	KP1_RS07180.fasta
KP1_RS07185		1474040	1257	membrane protein	1036	KP1_RS07185.fasta
KP1_RS07195		1476441	606	S-transferase	764	KP1_RS07195.fasta
KP1_RS07470		1541356	690	enolase-phosphatase E1	573	KP1_RS07470.fasta
KP1_RS07475		1542172	1161	aminotransferase	1087	KP1_RS07475.fasta
KP1_RS07500		1547552	564	alkyl hydroperoxide reductase subunit C	351	KP1_RS07500.fasta
KP1_RS07505		1548303	1566	alkyl hydroperoxide reductase subunit F	1010	KP1_RS07505.fasta
KP1_RS07510		1549945	429	universal stress protein G	246	KP1_RS07510.fasta
KP1_RS07515		1550560	411	nucleoside diphosphate kinase regulator	234	KP1_RS07515.fasta
KP1_RS07520		1551149	798	ribonuclease I	586	KP1_RS07520.fasta
KP1_RS07525		1552039	1374	anaerobic C4-dicarboxylate transporter DcuC	991	KP1_RS07525.fasta
KP1_RS07530		1553700	570	phospholipid:lipid A palmitoyltransferase	342	KP1_RS07530.fasta
KP1_RS07535		1554464	210	cold-shock protein CspE	94	KP1_RS07535.fasta
KP1_RS07540		1554741	384	fluoride ion transporter CrcB	234	KP1_RS07540.fasta
KP1_RS07550	tatE	1556245	204	preprotein translocase subunit TatE	105	KP1_RS07550.fasta
KP1_RS07555		1556639	966	lipoyl synthase	407	KP1_RS07555.fasta
KP1_RS07570		1559624	264	hypothetical protein	105	KP1_RS07570.fasta
KP1_RS07575		1560000	1200	serine-type D-Ala-D-Ala carboxypeptidase	619	KP1_RS07575.fasta
KP1_RS07585		1562498	1113	cell wall shape-determining protein	707	KP1_RS07585.fasta
KP1_RS07595		1565539	468	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	224	KP1_RS07595.fasta
KP1_RS07600		1566010	318	ribosome silencing factor RsfS	203	KP1_RS07600.fasta
KP1_RS07615		1567895	1032	DNA polymerase III subunit delta	785	KP1_RS07615.fasta
KP1_RS07620		1568926	591	LPS assembly lipoprotein LptE	290	KP1_RS07620.fasta
KP1_RS07625		1569531	2583	leucine--tRNA ligase	1332	KP1_RS07625.fasta
KP1_RS07650	artP	1576771	726	glutamate/aspartate ABC transporter ATP-binding protein	493	KP1_RS07650.fasta
KP1_RS07655		1577496	675	glutamate/aspartate transporter permease GltK	419	KP1_RS07655.fasta
KP1_RS07660		1578170	741	glutamate/aspartate ABC transporter permease	421	KP1_RS07660.fasta
KP1_RS07665		1579075	912	glutamate/aspartate ABC transporter substrate-binding protein	551	KP1_RS07665.fasta
KP1_RS07670		1580341	1539	apolipoprotein N-acyltransferase	1071	KP1_RS07670.fasta
KP1_RS07675		1582005	879	cobalt transporter	414	KP1_RS07675.fasta
KP1_RS07680		1583031	474	endoribonuclease YbeY	262	KP1_RS07680.fasta
KP1_RS07685		1583501	1047	nucleoside triphosphate hydrolase	622	KP1_RS07685.fasta
KP1_RS07690		1584701	1425	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	792	KP1_RS07690.fasta
KP1_RS07735	asnB	1588588	1665	asparagine synthase B	939	KP1_RS07735.fasta
KP1_RS07740		1590531	753	UMP phosphatase	497	KP1_RS07740.fasta
KP1_RS07745		1591400	1221	transcriptional regulator	679	KP1_RS07745.fasta
KP1_RS07750		1592629	1149	N-acetylglucosamine-6-phosphate deacetylase	560	KP1_RS07750.fasta
KP1_RS07755		1593891	801	glucosamine-6-phosphate deaminase	454	KP1_RS07755.fasta
KP1_RS07765		1597140	1668	glutamine--tRNA ligase	1035	KP1_RS07765.fasta
KP1_RS07770		1598861	309	methionine synthase	372	KP1_RS07770.fasta
KP1_RS07790		1601642	453	transcriptional repressor	148	KP1_RS07790.fasta
KP1_RS07795		1602386	531	flavodoxin	249	KP1_RS07795.fasta
KP1_RS07800		1603068	294	LexA regulated protein	110	KP1_RS07800.fasta
KP1_RS07805		1603495	774	acyl-CoA esterase	571	KP1_RS07805.fasta
KP1_RS07815		1604452	549	replication initiation regulator SeqA	230	KP1_RS07815.fasta
KP1_RS07820		1605033	1641	"phosphoglucomutase, alpha-D-glucose phosphate-specific"	1058	KP1_RS07820.fasta
KP1_RS07845		1611095	2049	potassium-transporting ATPase B chain	1317	KP1_RS07845.fasta
KP1_RS07850		1613164	1680	potassium-transporting ATPase subunit KdpA	1278	KP1_RS07850.fasta
KP1_RS07855		1615242	207	hypothetical protein	141	KP1_RS07855.fasta
KP1_RS07870		1618792	744	Nif3-like dinuclear metal center hexameric protein	501	KP1_RS07870.fasta
KP1_RS07915		1625214	1284	citrate (Si)-synthase	631	KP1_RS07915.fasta
KP1_RS07920		1627138	405	succinate dehydrogenase cytochrome b556 large membrane subunit	225	KP1_RS07920.fasta
KP1_RS07930		1627883	1767	succinate dehydrogenase flavoprotein subunit	1026	KP1_RS07930.fasta
KP1_RS07940		1630763	2808	2-oxoglutarate dehydrogenase subunit E1	1451	KP1_RS07940.fasta
KP1_RS07950		1634915	1167	succinyl-CoA ligase subunit beta	1027	KP1_RS07950.fasta
KP1_RS07955		1636081	870	succinate--CoA ligase subunit alpha	713	KP1_RS07955.fasta
KP1_RS07965		1637776	1569	cytochrome bd-I ubiquinol oxidase subunit I	824	KP1_RS07965.fasta
KP1_RS07970		1639360	1140	cytochrome bd oxidase subunit II	799	KP1_RS07970.fasta
KP1_RS07985		1641071	405	acyl-CoA thioesterase	159	KP1_RS07985.fasta
KP1_RS07990		1641481	684	Tol-Pal system subunit TolQ	325	KP1_RS07990.fasta
KP1_RS07995		1642168	429	colicin transporter	184	KP1_RS07995.fasta
KP1_RS08015		1646012	795	cell division protein CpoB	451	KP1_RS08015.fasta
KP1_RS08060		1648607	1044	quinolinate synthetase	823	KP1_RS08060.fasta
KP1_RS08065		1649686	720	nicotinamide riboside transporter PnuC	549	KP1_RS08065.fasta
KP1_RS08070		1650402	945	zinc transporter ZitB	786	KP1_RS08070.fasta
KP1_RS08080		1652144	1053	3-deoxy-7-phosphoheptulonate synthase	708	KP1_RS08080.fasta
KP1_RS08085	gpmA	1653270	753	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	558	KP1_RS08085.fasta
KP1_RS08095		1655351	1149	galactokinase	943	KP1_RS08095.fasta
KP1_RS08100		1656502	1047	galactose-1-phosphate uridylyltransferase	755	KP1_RS08100.fasta
KP1_RS08105		1657558	1017	UDP-glucose 4-epimerase	637	KP1_RS08105.fasta
KP1_RS08115		1658784	1473	molybdate ABC transporter ATP-binding protein ModF	1271	KP1_RS08115.fasta
KP1_RS08120		1660324	789	molybdenum-dependent transcriptional regulator	616	KP1_RS08120.fasta
KP1_RS08125		1661265	150	membrane protein	75	KP1_RS08125.fasta
KP1_RS08130		1661557	774	molybdate ABC transporter substrate-binding protein	649	KP1_RS08130.fasta
KP1_RS08140		1663022	1059	molybdenum ABC transporter ATP-binding protein	914	KP1_RS08140.fasta
KP1_RS08145		1664081	819	pyridoxal phosphatase	628	KP1_RS08145.fasta
KP1_RS08150		1665128	996	6-phosphogluconolactonase	694	KP1_RS08150.fasta
KP1_RS08155		1666234	267	two-component-system connector protein AriR	192	KP1_RS08155.fasta
KP1_RS08175		1668926	735	helix-turn-helix-type transcriptional regulator	563	KP1_RS08175.fasta
KP1_RS08180		1669702	555	LuxR family transcriptional regulator	289	KP1_RS08180.fasta
KP1_RS08185		1670338	213	hypothetical protein	121	KP1_RS08185.fasta
KP1_RS08225		1680901	1284	acyl-CoA thioesterase	838	KP1_RS08225.fasta
KP1_RS08245		1685541	1689	urocanate hydratase	1235	KP1_RS08245.fasta
KP1_RS08260		1691011	477	kinase inhibitor	415	KP1_RS08260.fasta
KP1_RS08265		1691558	1290	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA	1080	KP1_RS08265.fasta
KP1_RS08290		1696651	723	branched-chain amino acid ABC transporter ATP-binding protein	516	KP1_RS08290.fasta
KP1_RS08300		1698084	2022	excinuclease ABC subunit B	1213	KP1_RS08300.fasta
KP1_RS08305		1700354	1098	two-component sensor histidine kinase	916	KP1_RS08305.fasta
KP1_RS08310		1701455	672	DNA-binding response regulator	463	KP1_RS08310.fasta
KP1_RS08320		1703871	906	hypothetical protein	806	KP1_RS08320.fasta
KP1_RS08325	moaA	1705111	990	cyclic pyranopterin monophosphate synthase	722	KP1_RS08325.fasta
KP1_RS08330		1706124	513	molybdenum cofactor biosynthesis protein	418	KP1_RS08330.fasta
KP1_RS08335		1706640	489	cyclic pyranopterin monophosphate synthase accessory protein	467	KP1_RS08335.fasta
KP1_RS08345	moaE	1707371	453	molybdopterin guanine dinucleotide biosynthesis protein MoaE	347	KP1_RS08345.fasta
KP1_RS08350		1707869	705	membrane protein	582	KP1_RS08350.fasta
KP1_RS08355		1708992	966	membrane protein	769	KP1_RS08355.fasta
KP1_RS08360		1709954	1245	cardiolipin synthase B	969	KP1_RS08360.fasta
KP1_RS08365		1711195	762	EEP domain-containing protein	473	KP1_RS08365.fasta
KP1_RS08375		1712586	1107	membrane protein	695	KP1_RS08375.fasta
KP1_RS08385		1714945	1740	multidrug ABC transporter ATP-binding protein	1269	KP1_RS08385.fasta
KP1_RS08395		1717672	660	transcriptional regulator	541	KP1_RS08395.fasta
KP1_RS08400		1718405	924	LysR family transcriptional regulator	590	KP1_RS08400.fasta
KP1_RS08415		1721127	750	short-chain dehydrogenase	625	KP1_RS08415.fasta
KP1_RS08420		1721890	846	transketolase	659	KP1_RS08420.fasta
KP1_RS08425		1722735	993	transketolase	775	KP1_RS08425.fasta
KP1_RS08440		1727671	969	DNA-binding protein YbiB	756	KP1_RS08440.fasta
KP1_RS08445		1728749	261	hypothetical protein	167	KP1_RS08445.fasta
KP1_RS08450		1729295	267	hypothetical protein	376	KP1_RS08450.fasta
KP1_RS08460		1729982	615	Asp/Glu/hydantoin racemase	623	KP1_RS08460.fasta
KP1_RS08470		1731610	2196	mechanosensitive channel protein	1379	KP1_RS08470.fasta
KP1_RS08475	glnQ	1733917	723	glutamine ABC transporter ATP-binding protein	405	KP1_RS08475.fasta
KP1_RS08480		1734636	660	glutamine ABC transporter permease GlnP	406	KP1_RS08480.fasta
KP1_RS08485		1735421	747	glutamine ABC transporter substrate-binding protein GlnH	409	KP1_RS08485.fasta
KP1_RS08490		1736576	504	DNA starvation/stationary phase protection protein	243	KP1_RS08490.fasta
KP1_RS08505	ompX	1738556	513	outer membrane protein X	240	KP1_RS08505.fasta
KP1_RS08510		1739159	1581	phosphoethanolamine transferase	1019	KP1_RS08510.fasta
KP1_RS08515		1741008	126	hypothetical protein	95	KP1_RS08515.fasta
KP1_RS08520		1741319	474	transcriptional regulator MntR	261	KP1_RS08520.fasta
KP1_RS08535		1744516	717	GntR family transcriptional regulator	509	KP1_RS08535.fasta
KP1_RS08540		1745377	915	transpeptidase	363	KP1_RS08540.fasta
KP1_RS08550		1747456	1593	ABC-F family ATPase	972	KP1_RS08550.fasta
KP1_RS08570		1754232	1266	hypothetical protein	1029	KP1_RS08570.fasta
KP1_RS08580		1756629	2433	glycyl radical enzyme	1561	KP1_RS08580.fasta
KP1_RS08590		1760120	756	molybdopterin-synthase adenylyltransferase MoeB	622	KP1_RS08590.fasta
KP1_RS08595		1760875	1236	molybdopterin molybdenumtransferase MoeA	1050	KP1_RS08595.fasta
KP1_RS08600		1762346	942	beta-aspartyl-peptidase	690	KP1_RS08600.fasta
KP1_RS08610		1765197	1542	glutathione ABC transporter substrate-binding protein GsiB	1103	KP1_RS08610.fasta
KP1_RS08620		1767707	912	glutathione ABC transporter permease GsiD	673	KP1_RS08620.fasta
KP1_RS08625	rimO	1769022	1326	ribosomal protein S12 methylthiotransferase RimO	952	KP1_RS08625.fasta
KP1_RS08630		1770580	1242	MFS transporter	942	KP1_RS08630.fasta
KP1_RS08635	bssR	1772200	384	biofilm formation regulatory protein BssR	223	KP1_RS08635.fasta
KP1_RS08645		1773811	627	glutathione S-transferase	571	KP1_RS08645.fasta
KP1_RS08655		1776751	1203	serine-type D-Ala-D-Ala carboxypeptidase	755	KP1_RS08655.fasta
KP1_RS08660		1777992	759	DNA-binding transcriptional repressor DeoR	519	KP1_RS08660.fasta
KP1_RS08665		1778852	594	undecaprenyl-diphosphatase	483	KP1_RS08665.fasta
KP1_RS08670		1779773	1233	multidrug transporter MdfA	892	KP1_RS08670.fasta
KP1_RS08675		1781043	813	sugar phosphatase SupH	578	KP1_RS08675.fasta
KP1_RS08680		1781855	1203	MFS transporter	907	KP1_RS08680.fasta
KP1_RS08685		1783140	564	DNA-binding transcriptional regulator	512	KP1_RS08685.fasta
KP1_RS08700		1785833	384	membrane protein	224	KP1_RS08700.fasta
KP1_RS08705		1786223	264	"glutaredoxin, GrxA family"	137	KP1_RS08705.fasta
KP1_RS08715		1786960	723	NADPH-dependent oxidoreductase	735	KP1_RS08715.fasta
KP1_RS08720		1787797	903	ribosomal protein S6 modification protein	523	KP1_RS08720.fasta
KP1_RS08725		1788788	480	hypothetical protein	296	KP1_RS08725.fasta
KP1_RS08730		1789616	1113	spermidine/putrescine ABC transporter substrate-binding protein PotF	618	KP1_RS08730.fasta
KP1_RS08740		1792036	954	putrescine ABC transporter permease	635	KP1_RS08740.fasta
KP1_RS08745		1792986	846	putrescine ABC transporter permease PotI	585	KP1_RS08745.fasta
KP1_RS08750		1793889	489	membrane protein	343	KP1_RS08750.fasta
KP1_RS08755		1794419	1128	23S rRNA (uracil(747)-C(5))-methyltransferase	941	KP1_RS08755.fasta
KP1_RS08760		1795625	717	DNA-binding response regulator	493	KP1_RS08760.fasta
KP1_RS08770		1797897	732	arginine ABC transporter substrate-binding protein	421	KP1_RS08770.fasta
KP1_RS08775	artM	1798812	669	arginine transporter permease subunit ArtM	512	KP1_RS08775.fasta
KP1_RS08780		1799480	717	arginine transporter permease subunit ArtQ	453	KP1_RS08780.fasta
KP1_RS08785		1800203	732	arginine ABC transporter substrate-binding protein	451	KP1_RS08785.fasta
KP1_RS08790		1800955	729	arginine ABC transporter ATP-binding protein ArtP	429	KP1_RS08790.fasta
